,sentence,aspect,sentiment
3747,ambience 3 5 4 the restaurant as a whole has gone renovation and it s upgraded to become ok type ambience service 2 5 very slow staff are super rude and they don t give a damn about anything,environment,Positive
3748,ambience 3 5 4 the restaurant as a whole has gone renovation and it s upgraded to become ok type ambience service 2 5 very slow staff are super rude and they don t give a damn about anything,service,Negative
3749,it s a good place to order to home as you need not bear with these mannerless uncultured staff,service,Negative
3750,a chick place,other,Negative
3751,service was very good with staff being courteous and prompt in serving food,service,Positive
3752,an ideal place to hangout with friends on a game night enjoying the drinks and food,other,Positive
3753,the place has a nice quiet ambience i was surprised that it wasn t crowded as you d expect a top place to be on a weekend,environment,Positive
3754,the place has a nice quiet ambience i was surprised that it wasn t crowded as you d expect a top place to be on a weekend,other,Positive
3755,we were ushered in well and we choose a nice cozy place the place had a nice charm to it,environment,Positive
3756,we came in at 10pm and we were told to place our last orders instantly when i checked they said the place shuts down at 11pm and the last order was at 10 15pm,service,Negative
3757,coming to food the mushrooms seemed a bit too tangy but that s probably my palate the glazed pork ribs were top notch and juicy and tender,quality,Positive
3758,had it not been for the pushy waiters we would have liked to order drinks and a dessert too,service,Negative
3759,the waiters made sure that they cleared the plates in a jiffy and pounced on us with our last spoon handing us the copy of the bill and all of this before we even touched 11pm,service,Negative
3760,the rating is for the food and the place in general service is a bare minimum,quality,Negative
3761,the rating is for the food and the place in general service is a bare minimum,service,Negative
3762,but i would say i am disappointed with the taste as it is nowhere near to what it should be and prices are also very high,price,Negative
3763,but i would say i am disappointed with the taste as it is nowhere near to what it should be and prices are also very high,quality,Negative
3764,good place to hangout with friends food was nice 3 5 service was ok 2 5 ambiance was good 4 5 best time to visit is with friends is during football or cricket matches are going on,quality,Positive
3765,good place to hangout with friends food was nice 3 5 service was ok 2 5 ambiance was good 4 5 best time to visit is with friends is during football or cricket matches are going on,environment,Positive
3766,good place to hangout with friends food was nice 3 5 service was ok 2 5 ambiance was good 4 5 best time to visit is with friends is during football or cricket matches are going on,service,Positive
3767,good place to hangout with friends food was nice 3 5 service was ok 2 5 ambiance was good 4 5 best time to visit is with friends is during football or cricket matches are going on,other,Positive
3768,not bad taste li l more salty other wise good,quality,Positive
3769,whole packaging of raita and gulab jamun was upto the mark and really good,service,Positive
3770,but then the taste it tastes sweet,quality,Positive
3771,everything was good from packaging to the mouth freshner they gave but i didnt like the taste of biriyani the quantity was good and was garnished with almonds and cashew,quality,Positive
3772,everything was good from packaging to the mouth freshner they gave but i didnt like the taste of biriyani the quantity was good and was garnished with almonds and cashew,service,Positive
3773,heard a lot about the place and had clean and nice food delivered at home,quality,Positive
3774,the restaurant wasn t a very neat and hygienic place the plates were dirty and the cutlery and sauce storage boxes tainted and dirty,environment,Negative
3775,the restaurant wasn t a very neat and hygienic place the plates were dirty and the cutlery and sauce storage boxes tainted and dirty,service,Negative
3776,the people there were not welcoming too and their uniforms were half tucked in,service,Negative
3777,moving on to the good part the food was cleaner than most non veg places in hyderabad with the chicken having a little less oil than most places,quality,Positive
3778,the desserts looked sumptuous even though i was full for them i manged to take some pictures of them so from now on i am just going to get myself a delivery from that place rather than actually going there and if i go there it would be for the sole purpose of trying out the desserts,quality,Positive
3779,the desserts looked sumptuous even though i was full for them i manged to take some pictures of them so from now on i am just going to get myself a delivery from that place rather than actually going there and if i go there it would be for the sole purpose of trying out the desserts,other,Negative
